Country,Year,Energyinst Consuption (tb/d),Energyinst Reserves (tmb),Energyinst Capacity (tb/d),Energyinst Production (tb/d),Energyinst Throughput (tb/d)
Algeria,1965.0,26.71619178082192,,54.221917808219175,569.9438356164384,
Angola,1965.0,,,,13.297397260273973,
Argentina,1965.0,455.87401284361516,,402.325,275.6739726027397,
Australia,1965.0,343.8715342465754,,462.0,7.0,
Austria,1965.0,106.6528493150685,,80.0,,
Azerbaijan,1965.0,0.0,,0.0,0.0,
Bahrain,1965.0,,,205.0,,
Bangladesh,1965.0,0.0,,0.0,,
Belarus,1965.0,0.0,,0.0,,
Belgium,1965.0,312.1127123287672,,334.99999999999994,,
Brazil,1965.0,305.67380821917817,,346.655,96.05,
Brunei,1965.0,,,,79.99999999999999,
Bulgaria,1965.0,71.22095890410958,,54.0,,
Canada,1965.0,1108.1163013698629,,1089.1436284050658,920.0,
Central America,1965.0,66.68679407818986,,,,
Chad,1965.0,,,,0.0,
Chile,1965.0,69.59413424688724,,79.42,,
China,1965.0,215.49350684931505,,241.49572628519337,227.12958904109593,
China Hong Kong SAR,1965.0,40.61195439452055,,,,
Colombia,1965.0,94.6542090984343,,95.0,203.0,
Croatia,1965.0,0.0,,,,
Curacao,1965.0,,,0.0,,
Cyprus,1965.0,7.726465753424657,,,,
Czech Republic,1965.0,78.0833698630137,,24.000000000000004,,
Denmark,1965.0,202.44715068493147,,53.08125,0.0,
Eastern Africa,1965.0,118.61903283736754,,,,
Ecuador,1965.0,13.394794520547944,,18.05,8.000000000000002,
Egypt,1965.0,130.73772602739726,,180.73972602739727,126.01041095890412,
Equatorial Guinea,1965.0,,,,0.0,
Estonia,1965.0,0.0,,,,
Finland,1965.0,110.56994520547944,,60.0,,
France,1965.0,1065.4967671232878,,1411.0,,
Gabon,1965.0,,,,25.334657534246578,
Germany,1965.0,1708.6315068493154,,1747.0,,
Greece,1965.0,84.77063013698631,,36.99999999999999,,
Guyana,1965.0,,,,0.0,
Hungary,1965.0,73.12246575342468,,90.0,,
Iceland,1965.0,9.403095890410958,,,,
India,1965.0,252.23397260273975,,231.0,62.34427397260275,
Indonesia,1965.0,121.97095890410958,,225.15,486.00000000000006,
Iran,1965.0,139.2885157862695,,467.0,1908.0000000000002,
Iraq,1965.0,30.42031596922851,,78.99999999999999,1313.0000000000002,
Ireland,1965.0,46.54926027397261,,45.6,,
Israel,1965.0,67.65252994896615,,87.00000000000001,,
Italy,1965.0,978.9859178082191,,1560.0,47.76627397260273,
Japan,1965.0,1727.4914356218476,,1917.0,,
Kazakhstan,1965.0,0.0,,0.0,0.0,
Kuwait,1965.0,105.86717718834727,,341.99999999999994,2371.0000000000005,
Latvia,1965.0,0.0,,,,
Libya,1965.0,,,,1220.0,
Lithuania,1965.0,0.0,,0.0,,
Luxembourg,1965.0,16.145616438356164,,,,
Malaysia,1965.0,53.41040258820117,,118.0,1.0,
Mexico,1965.0,315.8710877276303,,417.0,361.99999999999994,
Middle Africa,1965.0,40.54866292900497,,,,
Morocco,1965.0,20.741497425077846,,34.13972602739726,,
Netherlands,1965.0,477.89186301369864,,614.0,,
Netherlands Antilles,1965.0,,,703.0000000000001,,
New Zealand,1965.0,56.71906849315068,,61.0,,
Nigeria,1965.0,,,32.13150684931507,274.2,
North Macedonia,1965.0,0.0,,,,
Norway,1965.0,99.4494520547945,,60.0,0.0,
Oman,1965.0,0.17054794520547945,,0.0,0.0,
Other Africa,1965.0,,,216.7350684931507,2.139013698630137,
Other Asia Pacific,1965.0,74.82077902309052,,24.7,35.11397260273972,
Other CIS,1965.0,0.0,,0.0,0.0,
Other Caribbean,1965.0,345.2829646559734,,,,
Other Europe,1965.0,,,64.2,470.47194520547947,
Other Europe ,1965.0,80.98346341570422,,,,
Other Middle East,1965.0,99.38184531717343,,217.89999999999998,60.99616438356164,
Other Northern Africa,1965.0,35.98479599392469,,,,
Other S. & Cent. America,1965.0,,,396.34,47.13452054794519,
Other South America,1965.0,61.721146031661824,,,,
Other Southern Africa,1965.0,1.5319881166435003,,,,
Pakistan,1965.0,75.72652054794523,,52.0,,
Peru,1965.0,72.1247782328767,,60.04,66.0,
Philippines,1965.0,97.35390461972224,,102.0,,
Poland,1965.0,108.74528767123287,,86.0,,
Portugal,1965.0,50.25331506849315,,24.000000000000004,,
Qatar,1965.0,1.0125205479452055,,0.95,233.0,
Republic of Congo ,1965.0,,,,1.3772054794520547,
Romania,1965.0,142.54958904109586,,241.0,265.77591780821916,
Russian Federation,1965.0,0.0,,0.0,0.0,
Saudi Arabia,1965.0,389.5744657534247,,303.0,2219.3,
Singapore,1965.0,76.49975958980063,,50.0,,
Slovakia,1965.0,44.88109589041096,,68.0,,
Slovenia,1965.0,0.0,,,,
South Africa,1965.0,117.7289315068493,,304.99999999999994,,
South Korea,1965.0,24.946301369863015,,33.0,,
South Sudan,1965.0,,,,0.0,
Spain,1965.0,268.46416438356164,,311.0,,
Sri Lanka,1965.0,15.363863069718173,,,,
Sudan,1965.0,,,,0.0,
Sweden,1965.0,373.9610042299423,,97.99999999999999,,
Switzerland,1965.0,164.18868493150686,,42.74999999999999,,
Syria,1965.0,,,,0.0,
Taiwan,1965.0,43.85572602739726,,46.0,,
Thailand,1965.0,47.56139726027397,,45.0,0.0,
Trinidad & Tobago,1965.0,35.171330072382496,,341.00000000000006,135.0,
Tunisia,1965.0,,,,0.0,
Turkey,1965.0,69.37386301369862,,96.00000000000001,,
Turkmenistan,1965.0,0.0,,0.0,0.0,
US,1965.0,11512.436,,10390.0,9014.148000000001,
USSR,1965.0,3313.9524159123266,,4518.493150684932,4857.759999999999,
Ukraine,1965.0,0.0,,0.0,,
United Arab Emirates,1965.0,1.5257843203728751,,0.0,282.2,
United Kingdom,1965.0,1466.077589041096,,1474.0000000000002,1.7398356164383564,
Uzbekistan,1965.0,0.0,,0.0,0.0,
Venezuela,1965.0,183.87995342465754,,1120.0,3503.0,
Vietnam,1965.0,31.347252782638357,,0.0,0.0,
Western Africa,1965.0,84.77604342619465,,,,
Yemen,1965.0,,,,0.0,
Algeria,1966.0,35.35323287671233,,54.221917808219175,733.5931506849315,
Angola,1966.0,,,,12.810164383561643,
Argentina,1966.0,471.13779697144616,,414.2,292.8641095890411,
Australia,1966.0,367.4275068493151,,455.0,9.0,
Austria,1966.0,118.20578082191781,,80.0,,
Azerbaijan,1966.0,0.0,,0.0,0.0,
Bahrain,1966.0,,,205.0,,
Bangladesh,1966.0,0.0,,0.0,,
Belarus,1966.0,0.0,,0.0,,
Belgium,1966.0,318.6681095890411,,351.99999999999994,,
Brazil,1966.0,334.60257534246574,,351.87999999999994,117.05,
Brunei,1966.0,,,,96.00000000000001,
Bulgaria,1966.0,81.12865753424657,,62.99999999999999,,
Canada,1966.0,1167.4687945205478,,1140.4684840748819,1011.9999999999999,
Central America,1966.0,68.69313173601336,,,,
Chad,1966.0,,,,0.0,
Chile,1966.0,76.50988793489269,,86.45,,
China,1966.0,276.6654794520548,,317.9875852895533,292.19589041095895,
China Hong Kong SAR,1966.0,44.74588460273973,,,,
Colombia,1966.0,112.05258440776987,,122.55,199.0,
Croatia,1966.0,0.0,,,,
Curacao,1966.0,,,0.0,,
Cyprus,1966.0,8.848876712328765,,,,
Czech Republic,1966.0,85.892,,24.000000000000004,,
Denmark,1966.0,230.12342465753423,,113.0,0.0,
Eastern Africa,1966.0,124.17563736006458,,,,
Ecuador,1966.0,13.969342465753426,,11.4,7.0,
Egypt,1966.0,139.93342465753426,,180.73972602739727,121.7115068493151,
Equatorial Guinea,1966.0,,,,0.0,
Estonia,1966.0,0.0,,,,
Finland,1966.0,134.50301369863013,,84.0,,
France,1966.0,1145.2225205479451,,1590.0,,
Gabon,1966.0,,,,28.979643835616443,
Germany,1966.0,1915.9679452054795,,1911.0,,
Greece,1966.0,92.82145205479452,,89.0,,
Guyana,1966.0,,,,0.0,
Hungary,1966.0,80.9245205479452,,99.00000000000001,,
Iceland,1966.0,10.12427397260274,,,,
India,1966.0,281.52871232876714,,329.0,95.86824657534248,
Indonesia,1966.0,117.46665753424658,,228.94999999999996,474.00000000000006,
Iran,1966.0,152.29428952036216,,524.0000000000001,2132.0,
Iraq,1966.0,32.53381629977041,,81.99999999999999,1392.0000000000002,
Ireland,1966.0,52.169479452054794,,45.6,,
Israel,1966.0,69.93648574073566,,95.0,,
Italy,1966.0,1079.8621095890412,,2198.0,39.07699178082191,
Japan,1966.0,2066.330109425738,,2101.9999999999995,,
Kazakhstan,1966.0,0.0,,0.0,0.0,
Kuwait,1966.0,102.96616614134057,,360.0,2505.0,
Latvia,1966.0,0.0,,,,
Libya,1966.0,,,,1508.0000000000002,
Lithuania,1966.0,0.0,,0.0,,
Luxembourg,1966.0,18.276630136986295,,,,
Malaysia,1966.0,61.7178637289433,,122.99999999999999,1.0,
Mexico,1966.0,333.0484836818594,,417.0,369.99999999999994,
Middle Africa,1966.0,41.19757370892943,,,,
Morocco,1966.0,28.17607496298734,,34.13972602739726,,
Netherlands,1966.0,521.7595342465754,,658.9999999999999,,
Netherlands Antilles,1966.0,,,755.25,,
New Zealand,1966.0,62.72975342465753,,61.0,,
Nigeria,1966.0,,,32.13150684931507,417.6,
North Macedonia,1966.0,0.0,,,,
Norway,1966.0,112.01449315068494,,60.0,0.0,
Oman,1966.0,0.21386301369863014,,0.0,0.0,
Other Africa,1966.0,,,244.41972602739725,2.139013698630137,
Other Asia Pacific,1966.0,77.88163547846493,,24.7,34.08547945205479,
Other CIS,1966.0,0.0,,0.0,0.0,
Other Caribbean,1966.0,357.4977218638675,,,,
Other Europe,1966.0,,,75.59999999999998,486.67797260273977,
Other Europe ,1966.0,95.2785768269294,,,,
Other Middle East,1966.0,102.03358751267464,,231.20000000000005,65.76109589041097,
Other Northern Africa,1966.0,38.40871097544261,,,,
Other S. & Cent. America,1966.0,,,471.865,54.41109589041096,
Other South America,1966.0,61.09579093773742,,,,
Other Southern Africa,1966.0,1.5367225427688866,,,,
Pakistan,1966.0,77.75241095890411,,62.00000000000001,,
Peru,1966.0,92.2959322191781,,60.419999999999995,66.0,
Philippines,1966.0,108.72219422362636,,109.00000000000001,,
Poland,1966.0,113.8916712328767,,86.0,,
Portugal,1966.0,51.66654794520548,,24.000000000000004,,
Qatar,1966.0,1.009945205479452,,0.95,290.99999999999994,
Republic of Congo ,1966.0,,,,1.2026301369863015,
Romania,1966.0,148.9004383561644,,241.0,271.00205479452063,
Russian Federation,1966.0,0.0,,0.0,0.0,
Saudi Arabia,1966.0,392.9160273972603,,334.99999999999994,2617.8000000000006,
Singapore,1966.0,87.40738811702658,,78.99999999999999,,
Slovakia,1966.0,49.35789041095891,,72.0,,
Slovenia,1966.0,0.0,,,,
South Africa,1966.0,127.85424657534247,,394.99999999999994,,
South Korea,1966.0,37.367972602739734,,38.0,,
South Sudan,1966.0,,,,0.0,
Spain,1966.0,318.8386575342466,,341.00000000000006,,
Sri Lanka,1966.0,15.73552278068441,,,,
Sudan,1966.0,,,,0.0,
Sweden,1966.0,421.57629738094784,,153.0,,
Switzerland,1966.0,174.72980821917807,,93.0,,
Syria,1966.0,,,,0.0,
Taiwan,1966.0,51.77769863013699,,50.0,,
Thailand,1966.0,55.992794520547946,,45.0,0.0,
Trinidad & Tobago,1966.0,35.41800794157409,,390.0,153.0,
Tunisia,1966.0,,,,16.243808219178085,
Turkey,1966.0,82.81221917808217,,96.00000000000001,,
Turkmenistan,1966.0,0.0,,0.0,0.0,
US,1966.0,12084.373,,10660.0,9579.241,
USSR,1966.0,3548.8187962520524,,4779.561643835616,5302.0,
Ukraine,1966.0,0.0,,0.0,,
United Arab Emirates,1966.0,1.6284659256844103,,0.0,360.0,
United Kingdom,1966.0,1573.5986849315066,,1683.0,1.6155616438356164,
Uzbekistan,1966.0,0.0,,0.0,0.0,
Venezuela,1966.0,181.46939452054792,,1135.0,3402.0,
Vietnam,1966.0,68.5095364918274,,0.0,0.0,
Western Africa,1966.0,87.46539921366573,,,,
Yemen,1966.0,,,,0.0,
Algeria,1967.0,33.28597260273973,,54.221917808219175,842.6643835616438,
Angola,1967.0,,,,10.901835616438358,
Argentina,1967.0,484.1140598660189,,412.3,318.6312328767123,
Australia,1967.0,401.4631780821918,,496.00000000000006,21.000000000000004,
Austria,1967.0,125.64857534246575,,80.0,,
Azerbaijan,1967.0,0.0,,0.0,0.0,
Bahrain,1967.0,,,205.0,,
Bangladesh,1967.0,0.0,,0.0,,
Belarus,1967.0,0.0,,0.0,,
Belgium,1967.0,350.3951232876712,,502.00000000000006,,
Brazil,1967.0,344.5401643835617,,360.90499999999986,147.05,
Brunei,1967.0,,,,104.00000000000001,
Bulgaria,1967.0,101.8273698630137,,62.99999999999999,,
Canada,1967.0,1245.557068493151,,1238.5266335715035,1106.0,
Central America,1967.0,71.37068799686695,,,,
Chad,1967.0,,,,0.0,
Chile,1967.0,80.60474915708545,,86.45,,
China,1967.0,273.29413698630145,,317.9875852895533,278.74082191780826,
China Hong Kong SAR,1967.0,53.571846698356175,,,,
Colombia,1967.0,112.48890400425758,,122.55,192.0,
Croatia,1967.0,0.0,,,,
Curacao,1967.0,,,0.0,,
Cyprus,1967.0,9.62213698630137,,,,
Czech Republic,1967.0,95.49898630136985,,58.0,,
Denmark,1967.0,243.87265753424663,,127.0,0.0,
Eastern Africa,1967.0,132.5772016301092,,,,
Ecuador,1967.0,15.110301369863015,,19.0,6.000000000000001,
Egypt,1967.0,115.71526027397262,,136.1572602739726,108.56191780821919,
Equatorial Guinea,1967.0,,,,0.0,
Estonia,1967.0,0.0,,,,
Finland,1967.0,141.24945205479452,,110.0,,
France,1967.0,1315.1567123287673,,1683.0,,
Gabon,1967.0,,,,68.99438356164384,
Germany,1967.0,1997.3059726027398,,2324.0000000000005,,
Greece,1967.0,109.21298630136985,,90.99999999999999,,
Guyana,1967.0,,,,0.0,
Hungary,1967.0,86.06065753424657,,104.99999999999999,,
Iceland,1967.0,9.876082191780824,,,,
India,1967.0,289.3797808219178,,320.15,116.91098630136987,
Indonesia,1967.0,114.31797260273972,,238.45,510.0,
Iran,1967.0,168.48597257757382,,524.0000000000001,2603.0,
Iraq,1967.0,34.83972417581213,,81.99999999999999,1227.9999999999998,
Ireland,1967.0,58.485013698630134,,49.4,,
Israel,1967.0,85.25159989215231,,109.00000000000001,,
Italy,1967.0,1198.532904109589,,2564.0,36.55973698630137,
Japan,1967.0,2450.172789756395,,2214.0,,
Kazakhstan,1967.0,0.0,,0.0,0.0,
Kuwait,1967.0,100.14950233817763,,360.0,2522.0,
Latvia,1967.0,0.0,,,,
Libya,1967.0,,,,1733.0000000000002,
Lithuania,1967.0,0.0,,0.0,,
Luxembourg,1967.0,20.106136986301372,,,,
Malaysia,1967.0,66.20130718108096,,124.00000000000001,1.0,
Mexico,1967.0,357.30595710829783,,457.0,411.0,
Middle Africa,1967.0,41.997242244657116,,,,
Morocco,1967.0,30.959618451679415,,34.13972602739726,,
Netherlands,1967.0,533.562712328767,,773.0,,
Netherlands Antilles,1967.0,,,755.25,,
New Zealand,1967.0,65.81150684931507,,61.0,,
Nigeria,1967.0,,,33.336438356164386,319.1,
North Macedonia,1967.0,0.0,,,,
Norway,1967.0,116.5856712328767,,97.99999999999999,0.0,
Oman,1967.0,0.9833424657534247,,0.0,56.99999999999999,
Other Africa,1967.0,,,251.1208219178082,2.0559452054794525,
Other Asia Pacific,1967.0,81.63489408541518,,24.7,31.085479452054795,
Other CIS,1967.0,0.0,,0.0,0.0,
Other Caribbean,1967.0,372.8917133875396,,,,
Other Europe,1967.0,,,75.59999999999998,506.9918356164384,
Other Europe ,1967.0,116.3050007375143,,,,
Other Middle East,1967.0,104.05709835829475,,229.3,72.97753424657535,
Other Northern Africa,1967.0,40.542102937957466,,,,
Other S. & Cent. America,1967.0,,,505.4,78.21424657534249,
Other South America,1967.0,62.71476672134585,,,,
Other Southern Africa,1967.0,1.6004074165641062,,,,
Pakistan,1967.0,86.80271232876713,,62.00000000000001,,
Peru,1967.0,93.00060060273972,,85.49999999999999,74.0,
Philippines,1967.0,117.87440145641577,,170.99999999999997,,
Poland,1967.0,124.18432876712328,,86.0,,
Portugal,1967.0,56.91597260273972,,24.000000000000004,,
Qatar,1967.0,1.535917808219178,,0.95,324.0,
Republic of Congo ,1967.0,,,,0.9698630136986303,
Romania,1967.0,169.9727397260274,,281.0,278.84126027397264,
Russian Federation,1967.0,0.0,,0.0,0.0,
Saudi Arabia,1967.0,396.2595616438356,,334.99999999999994,2824.9999999999995,
Singapore,1967.0,104.37377015217655,,162.0,,
Slovakia,1967.0,54.86882191780822,,84.0,,
Slovenia,1967.0,0.0,,,,
South Africa,1967.0,138.49709589041095,,394.99999999999994,,
South Korea,1967.0,64.73060273972602,,57.0,,
South Sudan,1967.0,,,,0.0,
Spain,1967.0,387.6718904109589,,482.0,,
Sri Lanka,1967.0,16.117322834143092,,,,
Sudan,1967.0,,,,0.0,
Sweden,1967.0,421.2205152389176,,153.0,,
Switzerland,1967.0,188.00657534246577,,97.5,,
Syria,1967.0,,,,0.0,
Taiwan,1967.0,61.370958904109585,,50.0,,
Thailand,1967.0,61.973424657534245,,45.0,0.0,
Trinidad & Tobago,1967.0,36.95416606179466,,405.00000000000006,179.0,
Tunisia,1967.0,,,,47.21449315068493,
Turkey,1967.0,97.0205205479452,,120.0,,
Turkmenistan,1967.0,0.0,,0.0,0.0,
US,1967.0,12560.344999999998,,11350.0,10219.252,
USSR,1967.0,3866.12622118356,,5060.712328767123,5762.0,
Ukraine,1967.0,0.0,,0.0,,
United Arab Emirates,1967.0,1.7523143648125505,,0.0,382.1,
United Kingdom,1967.0,1696.2687397260272,,1731.0,1.8433972602739723,
Uzbekistan,1967.0,0.0,,0.0,0.0,
Venezuela,1967.0,185.72887123287668,,1217.0000000000002,3576.0,
Vietnam,1967.0,100.33816599877535,,0.0,0.0,
Western Africa,1967.0,89.73450036875548,,,,
Yemen,1967.0,,,,0.0,
Algeria,1968.0,35.374426229508195,,54.221917808219175,922.4950819672132,
Angola,1968.0,,,,15.184426229508198,
Argentina,1968.0,493.543629254944,,423.6999999999999,348.1584699453552,
Australia,1968.0,435.991174863388,,543.0,39.0,
Austria,1968.0,144.3210382513661,,79.99999999999999,,
Azerbaijan,1968.0,0.0,,0.0,0.0,
Bahrain,1968.0,,,205.0,,
Bangladesh,1968.0,0.0,,0.0,,
Belarus,1968.0,0.0,,0.0,,
Belgium,1968.0,405.1033879781421,,611.0,,
